127.0.0.1 - - [05/Jul/2017:21:27:47 +0530] "GET / HTTP/1.1" 404 1078
127.0.0.1 - - [05/Jul/2017:21:27:49 +0530] "GET /StudentRegistration/ HTTP/1.1" 200 1699
127.0.0.1 - - [05/Jul/2017:21:27:49 +0530] "GET /WEB/resources/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 404 1129
127.0.0.1 - - [05/Jul/2017:21:27:49 +0530] "GET /WEB/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1123
127.0.0.1 - - [05/Jul/2017:21:27:50 +0530] "GET /WEB/resources/js/jquery-1.12.1.min.js HTTP/1.1" 404 1115
127.0.0.1 - - [05/Jul/2017:21:27:50 +0530] "GET /WEB/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1121
127.0.0.1 - - [05/Jul/2017:21:27:50 +0530] "GET /favicon.ico HTTP/1.1" 404 1089
127.0.0.1 - - [05/Jul/2017:21:27:50 +0530] "GET /favicon.ico HTTP/1.1" 404 1089
127.0.0.1 - - [05/Jul/2017:21:28:03 +0530] "GET /StudentRegistration/ HTTP/1.1" 200 1699
127.0.0.1 - - [05/Jul/2017:21:28:03 +0530] "GET /WEB/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1123
127.0.0.1 - - [05/Jul/2017:21:28:03 +0530] "GET /WEB/resources/js/jquery-1.12.1.min.js HTTP/1.1" 404 1115
127.0.0.1 - - [05/Jul/2017:21:28:03 +0530] "GET /WEB/resources/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 404 1129
127.0.0.1 - - [05/Jul/2017:21:28:03 +0530] "GET /WEB/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1121
127.0.0.1 - - [05/Jul/2017:21:28:03 +0530] "GET /WEB/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1121
127.0.0.1 - - [05/Jul/2017:21:28:04 +0530] "GET /StudentRegistration/ HTTP/1.1" 200 1699
127.0.0.1 - - [05/Jul/2017:21:28:05 +0530] "GET /WEB/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1123
127.0.0.1 - - [05/Jul/2017:21:28:05 +0530] "GET /WEB/resources/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 404 1129
127.0.0.1 - - [05/Jul/2017:21:28:05 +0530] "GET /WEB/resources/js/jquery-1.12.1.min.js HTTP/1.1" 404 1115
127.0.0.1 - - [05/Jul/2017:21:28:05 +0530] "GET /WEB/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1121
127.0.0.1 - - [05/Jul/2017:21:28:05 +0530] "GET /WEB/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1121
127.0.0.1 - - [05/Jul/2017:21:28:06 +0530] "GET /StudentRegistration/ HTTP/1.1" 200 1699
127.0.0.1 - - [05/Jul/2017:21:28:06 +0530] "GET /WEB/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1123
